,Quotes,Authors,Tags,Links
0,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,change,/author/Albert-Einstein
1,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,abilities,/author/J-K-Rowling
2,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,inspirational,/author/Albert-Einstein
3,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,aliteracy,/author/Jane-Austen
4,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,be-yourself,/author/Marilyn-Monroe
5,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,adulthood,/author/Albert-Einstein
6,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,life,/author/Andre-Gide
7,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,edison,/author/Thomas-A-Edison
8,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,/author/Eleanor-Roosevelt
9,"“A day without sunshine is like, you know, night.”",Steve Martin,humor,/author/Steve-Martin
